1000	
13	2
6	8
21	6
27	3
21	3
19	1
12	4
17	5
17	5
19	4
29	5
12	1
5	1
15	8
4	4
3	5
1	5
29	5
26	1
11	3
9	6
18	2
5	6
13	8
12	7
21	4
11	6
13	7
23	3
6	1
5	4
18	2
16	6
16	7
14	5
26	8
1	3
16	3
16	1
23	6
21	3
12	5
15	7
8	3
4	6
11	4
30	6
30	3
5	3
1	8
16	8
6	4
23	4
26	4
30	6
18	8
7	6
9	6
6	1
6	7
21	7
29	5
23	5
21	6
8	5
9	3
12	1
30	3
15	6
20	5
27	2
12	7
22	8
8	7
1	4
1	5
21	7
9	2
29	8
1	2
12	4
24	2
16	3
18	4
9	6
16	4
28	7
16	4
3	7
22	5
5	3
6	2
29	3
30	6
4	3
1	8
18	7
27	2
21	1
27	1
11	8
22	6
26	7
1	6
14	4
9	2
7	8
4	8
5	2
26	4
19	3
10	1
9	2
12	3
14	1
13	7
13	5
7	4
7	3
12	7
27	1
21	8
18	1
30	6
14	7
6	3
22	3
7	4
1	8
1	6
19	4
25	3
1	6
13	4
12	4
8	3
20	6
2	3
12	8
16	5
21	8
7	8
20	1
8	5
29	2
21	5
26	7
27	6
8	4
22	7
22	6
14	2
28	1
4	2
17	8
12	7
23	5
11	6
8	2
13	8
22	2
14	1
1	1
27	3
20	1
4	5
7	4
2	3
19	1
2	4
5	4
30	2
3	1
29	2
18	1
2	2
30	7
26	2
9	3
10	7
13	1
9	3
22	8
30	8
28	2
13	6
28	1
7	3
16	4
27	3
12	4
15	5
29	2
21	1
23	5
12	6
13	3
1	1
25	4
8	5
19	2
20	1
12	2
10	2
5	1
15	4
23	2
13	3
4	1
2	2
4	1
10	1
8	2
18	8
2	4
19	6
11	6
16	1
22	3
22	8
16	1
10	4
11	4
24	2
15	2
18	7
1	8
17	1
30	3
5	6
2	8
23	3
17	8
5	8
21	8
21	8
8	2
8	1
7	2
22	8
4	5
8	2
18	2
7	6
20	3
5	4
13	8
18	2
16	5
22	6
4	5
9	5
19	8
15	5
3	5
25	3
23	6
3	7
19	3
2	8
4	2
10	2
3	1
13	3
29	6
28	7
7	6
13	1
7	1
18	2
28	1
21	5
28	5
2	3
24	2
22	4
13	7
26	5
22	5
15	7
10	3
19	1
25	3
30	2
19	1
21	6
15	7
30	8
13	2
8	2
25	7
27	1
6	4
10	2
7	5
12	8
5	7
6	6
9	5
10	1
12	3
4	1
14	2
22	5
8	6
28	5
16	7
4	7
19	6
24	6
27	3
22	4
9	6
7	7
18	7
6	7
1	6
8	7
7	3
25	4
4	2
22	7
1	1
14	1
22	1
8	8
7	4
30	5
1	4
10	3
1	7
19	2
3	7
11	5
15	7
28	5
19	2
10	1
7	1
24	6
8	4
12	7
27	6
16	1
18	2
12	3
26	2
30	6
2	2
9	5
2	3
13	6
1	7
19	5
12	4
26	1
15	6
9	6
13	7
1	2
8	4
21	4
19	5
30	8
1	2
18	2
23	1
18	5
29	6
7	1
14	2
12	6
24	4
16	5
16	8
5	2
21	6
9	5
4	2
2	4
30	5
16	1
30	5
11	4
12	7
23	3
17	5
8	8
7	3
18	6
2	6
19	4
10	3
23	2
27	5
24	1
15	2
5	6
1	5
30	1
8	2
28	8
15	4
29	7
12	3
1	3
1	3
6	7
27	5
8	1
18	5
22	4
22	5
2	1
19	8
26	1
10	4
22	1
11	5
29	2
24	7
1	5
22	5
2	1
19	4
10	6
29	5
4	7
28	8
4	3
18	2
1	3
6	8
4	6
26	2
30	8
4	8
8	7
9	1
9	4
14	5
10	8
27	5
21	8
1	3
8	1
10	2
5	6
13	6
17	2
30	3
22	8
8	7
14	6
24	7
25	7
17	5
26	2
4	1
28	6
13	1
29	5
16	4
8	2
18	6
1	2
21	6
4	6
19	4
3	3
1	4
10	1
29	5
14	5
30	2
4	7
21	7
27	1
6	2
1	6
13	1
12	4
18	1
20	1
23	6
27	3
30	8
30	5
22	5
29	8
8	1
23	4
20	6
12	2
18	6
27	3
21	3
1	2
22	6
22	1
2	4
29	7
14	4
16	6
18	1
29	6
9	8
4	8
21	4
2	8
19	3
1	3
19	6
30	7
19	1
6	6
4	8
10	1
29	2
7	1
12	7
1	1
12	4
16	2
1	5
30	2
14	2
11	8
9	3
22	6
15	6
1	7
6	1
26	4
5	2
12	5
14	4
13	4
16	3
3	5
14	2
25	5
21	1
13	1
16	4
26	4
14	5
20	1
20	3
26	7
28	5
9	5
12	3
22	4
30	3
15	7
23	4
2	6
6	1
20	6
3	3
13	6
7	3
1	8
6	8
3	5
2	8
3	3
16	8
16	8
11	8
1	2
6	6
23	5
7	1
13	2
16	1
9	1
11	1
24	8
21	2
11	2
10	1
4	5
19	1
5	2
24	2
25	7
11	2
13	2
18	8
26	5
13	3
22	8
4	3
26	2
5	2
9	4
8	5
23	3
22	7
12	6
28	1
26	7
2	1
5	8
24	4
30	7
28	7
10	3
16	7
14	6
10	2
25	5
19	2
7	1
10	2
19	5
13	2
20	5
11	1
1	6
24	6
26	7
