152,98
129,70
28,26
109,06
9,91
22,66
107,73
136,10
68,78
120,76
5,68
124,58
25,69
40,91
132,38
141,89
102,35
107,82
28,49
42,85
144,89
136,98
114,37
107,63
104,98
131,27
133,68
92,80
13,39
52,35
12,08
60,16
141,50
45,85
85,36
144,28
48,76
97,37
124,11
62,23
104,80
37,64
143,65
44,05
131,65
28,85
93,91
54,94
135,13
12,52
149,51
144,57
101,31
120,28
66,59
54,14
63,40
101,09
151,32
61,00
100,97
131,95
35,46
72,35
110,87
116,89
104,24
95,35
28,29
108,67
90,60
55,25
66,37
35,78
111,09
46,24
116,24
45,26
82,41
112,23
87,16
142,86
98,60
128,00
92,84
107,68
135,77
58,68
124,22
29,29
61,12
134,34
59,44
13,62
57,16
7,46
107,34
116,86
142,32
93,72
70,45
75,67
82,94
99,27
30,21
28,91
68,43
128,84
33,56
10,76
98,29
78,19
55,89
9,50
92,65
91,11
62,68
110,03
128,81
87,39
28,10
38,06
51,66
18,19
56,75
137,86
88,84
10,54
150,44
128,67
64,65
66,97
116,35
62,47
22,20
107,92
127,05
145,28
7,46
97,78
132,73
96,26
145,88
94,69
56,21
43,55
109,79
147,60
50,88
21,46
117,56
124,94
128,28
72,54
70,96
35,85
44,15
68,44
91,55
103,34
130,14
143,98
133,81
117,59
24,79
24,91
74,60
25,70
136,54
86,57
21,80
124,93
47,04
119,15
133,08
49,81
64,84
101,26
22,53
93,94
109,13
153,34
61,21
93,89
21,38
89,78
148,59
44,56
58,57
26,73
21,53
12,37
28,74
68,63
26,74
14,50
145,94
47,25
55,38
104,45
125,86
8,83
8,48
129,19
10,81
114,87
146,19
72,04
115,28
58,57
55,60
129,78
86,59
112,78
29,38
84,02
67,42
50,88
42,09
148,85
134,80
135,96
50,49
116,63
131,28
72,54
51,71
5,11
18,90
45,39
15,66
89,79
14,42
18,35
24,80
35,10
117,22
48,16
134,43
142,77
124,73
101,31
8,28
74,58
144,49
47,78
86,67
91,06
94,76
72,29
5,02
23,73
143,29
7,32
150,58
123,23
110,11
149,95
98,08
91,99
37,79
45,22
72,32
101,18
11,02
132,49
139,18
119,83
100,46
116,92
68,79
102,01
119,97
77,72
24,84
48,74
42,18
75,77
107,04
35,43
30,99
110,98
66,87
101,01
13,23
75,20
17,91
135,31
50,51
130,55
151,54
19,94
37,51
29,24
10,04
79,45
24,35
90,92
119,48
63,92
100,00
17,72
126,37
150,97
82,30
149,50
81,29
118,97
49,28
142,66
79,11
17,80
69,87
30,81
31,82
150,91
27,41
67,90
26,39
79,67
66,25
111,66
154,91
123,26
5,37
118,98
136,74
135,81
110,95
108,41
41,73
10,46
37,02
148,04
106,61
61,62
23,67
22,12
67,77
123,85
100,72
63,64
153,29
119,30
25,34
147,95
123,82
30,33
85,24
79,93
145,03
94,80
133,40
28,06
143,74
56,67
46,78
88,63
24,12
26,38
74,14
51,02
64,88
15,63
72,97
11,66
32,84
140,20
146,22
149,23
40,32
125,54
27,88
79,42
123,56
16,50
122,74
40,75
67,35
15,92
60,31
105,38
105,67
100,30
39,24
16,87
108,24
84,42
112,96
74,62
63,62
107,16
63,68
11,58
94,30
111,71
107,77
106,40
121,97
7,82
8,37
77,04
98,26
46,62
96,00
26,45
135,90
152,42
50,67
83,51
10,62
73,53
118,04
122,29
105,18
77,63
37,23
59,81
14,75
39,61
29,48
68,55
53,60
22,81
89,69
68,72
114,46
121,54
15,82
81,11
77,46
8,36
149,67
80,63
88,17
66,38
24,13
135,14
30,03
58,69
130,48
78,85
12,03
58,75
126,93
142,67
117,88
54,91
17,31
20,12
39,82
95,50
119,32
67,65
10,25
32,51
142,45
89,29
9,88
5,09
81,05
135,05
13,59
119,99
153,21
84,91
123,43
21,01
34,11
147,99
84,98
17,57
42,52
29,84
140,57
79,50
111,81
125,14
28,98
140,50
69,55
153,22
9,08
26,38
59,51
144,67
60,18
20,31
152,97
149,18
18,41
41,89
23,50
37,70
61,78
83,82
78,15
22,05
128,20
54,32
